TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
ir.ramtung.sts01.Main,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9611848825331971,979,941,0.9090909090909091,1111111111111111111001,1.0,111,0.3333333333333333,001,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,11
ir.ramtung.impl1.Student,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9646936656282451,963,929,1.0,111111,1.0,111,1.0,111,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,11
ir.ramtung.impl1.Member,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9651639344262295,976,942,1.0,11111111111,1.0,111111,1.0,111111,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,1111
ir.ramtung.impl1.DuplicateMemberEx,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9643605870020965,954,920,1.0,11,1.0,1,1.0,1,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,1
ir.ramtung.impl1.Book,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9650205761316872,972,938,1.0,11111111,1.0,111111,1.0,111111,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,111
ir.ramtung.impl1.Magazine,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9652351738241309,978,944,1.0,111111111111,1.0,1111111,1.0,1111111,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,111
ir.ramtung.impl1.Reference,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9648033126293996,966,932,1.0,111111,1.0,1111,1.0,1111,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,111
ir.ramtung.impl1.Loan,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9665683382497542,1017,983,1.0,11111111111111111111111111,1.0,111111111111111111,1.0,111111111111111111,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,111111
ir.ramtung.impl1.Document,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9648033126293996,966,932,1.0,1111111,1.0,1111,1.0,1111,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,11
ir.ramtung.impl1.Professor,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.964509394572025,958,924,1.0,111,1.0,11,1.0,11,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,11
ir.ramtung.impl1.DuplicateDocumentEx,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9643605870020965,954,920,1.0,11,1.0,1,1.0,1,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,1
ir.ramtung.impl1.InvalidArgumentEx,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9643605870020965,954,920,1.0,11,1.0,1,1.0,1,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,1
ir.ramtung.impl1.Library,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9460370994940978,1186,1122,1.0,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9692307692307692,11111111111111111111111111111111111111111111111111101111101111111,0.5692307692307692,00001110011011011111000011011010001100000110110111111001111111001,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,111111111111
ir.ramtung.impl1.CannotExtendEx,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9643605870020965,954,920,1.0,11,1.0,1,1.0,1,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,1
ir.ramtung.impl1.CannotBorrowEx,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9643605870020965,954,920,1.0,11,1.0,1,1.0,1,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,1
